h3_polyfill,Trees,Habitats,Livestock production,Crop production,All food production,geometry_wkt
861942437ffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((393890.8625634669 430475.2016002032, 390633.9412185044 429523.27062253514, 390105.5452741676 426079.77144990594, 392835.37252398115 423588.84865660546, 396092.2793338443 424542.310458955, 396619.3741180999 427985.1644867826, 393890.8625634669 430475.2016002032))"
8619420c7ffffff,2 - medium,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((432589.48257980146 399079.5634489357, 429344.0845656356 398121.002047992, 428823.49814677215 394674.1585919056, 431549.5881606364 392186.5324955108, 434794.954233458 393146.6157850481, 435314.26291713346 396592.80354987434, 432589.48257980146 399079.5634489357))"
8619558b7ffffff,1 - low,2 - medium,1 - low,1 - low,1 - low,"POLYGON ((373895.87269814196 542486.459256978, 370648.271364332 541564.7739806316, 370118.0229190982 538157.9789013106, 372836.72377614386 535673.4678077633, 376084.36037723825 536596.693028665, 376613.2615446367 540002.889612333, 373895.87269814196 542486.459256978))"
861874927ffffff,1 - low,2 - medium,3 - high,2 - medium,2 - medium,"POLYGON ((247640.25633823607 139204.20963957126, 244281.5350494695 138164.1296706493, 243717.19583715734 134594.42681738993, 246512.8064696178 132065.58508341503, 249871.39527551315 133107.19128807398, 250434.50663649553 136676.11337177028, 247640.25633823607 139204.20963957126))"
861948cc7ffffff,1 - low,2 - medium,1 - low,2 - medium,1 - low,"POLYGON ((634803.384164033 159626.5756457552, 631609.7665880406 158614.10595610304, 631123.9149913443 155128.88516887915, 633832.8075755592 152656.87371919976, 637026.2772947043 153670.8063235444, 637511.0029327564 157155.2878122195, 634803.384164033 159626.5756457552))"
86195a2afffffff,3 - high,1 - low,3 - high,1 - low,2 - medium,"POLYGON ((255477.30090068403 148412.6857680155, 252122.96651412206 147375.55348400678, 251560.29273936196 143810.29608294272, 254353.1837009827 141282.94754496997, 257707.38939494788 142321.60601640955, 258268.833523817 145886.08721499884, 255477.30090068403 148412.6857680155))"
8619518afffffff,1 - low,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((344293.49927193124 432463.1848809398, 341016.06587264274 431509.1589083936, 340476.5979677286 428056.5005465724, 343215.881266281 425558.5163039848, 346493.3063725932 426514.0819820537, 347031.457169668 429966.0924553742, 344293.49927193124 432463.1848809398))"
861973397ffffff,3 - high,1 - low,2 - medium,1 - low,1 - low,"POLYGON ((401815.26172447985 582840.1890187768, 398586.0895087698 581931.2891568552, 398063.3964356361 578545.1131457138, 400771.2284403901 576068.4164947597, 404000.4491664242 576978.8525454382, 404521.7900630501 580364.4492554866, 401815.26172447985 582840.1890187768))"
861940737ffffff,1 - low,1 - low,1 - low,2 - medium,2 - medium,"POLYGON ((524051.5524740644 413009.5107773211, 520847.17845113727 412059.71494661283, 520347.24272856215 408635.9655610349, 523052.9361315482 406162.6553601686, 526257.2747113373 407113.9580369538, 526755.9560009647 410537.0643266055, 524051.5524740644 413009.5107773211))"
86195b507ffffff,3 - high,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((286724.59222134 124202.3077817306, 283379.9611062589 123160.40313954631, 282823.33273094543 119593.96288654671, 285612.54681590304 117070.21135437369, 288957.0358969957 118113.63334076211, 289512.45362529496 121679.2898994867, 286724.59222134 124202.3077817306))"
86194e51fffffff,3 - high,3 - high,1 - low,3 - high,3 - high,"POLYGON ((543027.9842311848 247290.52483584406, 539807.2192302558 246296.4555861458, 539305.7906728706 242820.55764138757, 542026.3148755174 240339.44015098998, 545246.974331788 241334.99840334157, 545747.2157940592 244810.18546447158, 543027.9842311848 247290.52483584406))"
86195dbb7ffffff,1 - low,2 - medium,1 - low,2 - medium,1 - low,"POLYGON ((502750.7410516003 224868.5446529991, 499509.702525428 223866.14537697763, 498999.19504146534 220374.90808610513, 501730.91710483097 217886.79384863953, 504971.84362756833 218890.6865269327, 505481.1607598873 222381.20037231687, 502750.7410516003 224868.5446529991))"
861941117ffffff,1 - low,2 - medium,1 - low,1 - low,1 - low,"POLYGON ((618251.9920744391 346215.30460327526, 615077.9263554348 345252.28961006866, 614596.0790874069 341824.30706173304, 617289.4992144316 339360.00379187096, 620463.4936163246 340324.50428718305, 620944.1398628422 343751.8228296285, 618251.9920744391 346215.30460327526))"
